Хозяева;Гости;Голы хозяев;Голы гостей;День;Месяц;Год;Тур;Стадион;Город;Время начана;Сезон,
"ЦСКА;Амкар;1;0;12;марта;2010;1;стадион ""Арена Химки"";Химки;19:00;2010",
"Крылья Советов;Зенит;0;1;13;марта;2010;1;стадион ""Металлург"";Самара;13:00;2010",
"Анжи;Спартак Нч;0;0;13;марта;2010;1;стадион ""Динамо"";Махачкала;15:15;2010",
"Ростов;Томь;0;2;13;марта;2010;1;стадион ""Олимп-2"";Ростов-на-Дону;17:30;2010",
"Сибирь;Терек;0;2;14;марта;2010;1;стадион ""Спартак"";Новосибирск;11:30;2010",
"Рубин;Локомотив;2;0;14;марта;2010;1;стадион ""Центральный"";Казань;14:00;2010",
"Алания;Cатурн;1;1;14;марта;2010;1;стадион ""Республиканский стадион Спартак"";Владикавказ;16:15;2010",
"Спартак;Динамо;0;1;14;марта;2010;1;стадион ""Лужники"";Москва;19:00;2010",
"Спартак Нч;Алания;2;1;19;марта;2010;2;стадион ""Спартак"";Нальчик;18:30;2010",
"Амкар;Анжи;1;0;20;марта;2010;2;стадион ""Звезда"";Пермь;12:00;2010",
"Терек;Ростов;1;1;20;марта;2010;2;стадион ""им. Билимханова"";Грозный;14:15;2010",
"Cатурн;Сибирь;1;1;20;марта;2010;2;стадион ""Сатурн"";Раменское;16:30;2010",
"Локомотив;Крылья Советов;3;0;20;марта;2010;2;стадион ""РЖД Арена"";Москва;19:00;2010",
"Зенит;Спартак;1;1;21;марта;2010;2;стадион ""Петровский"";Санкт-Петербург;14:00;2010",
"ЦСКА;Динамо;0;0;21;марта;2010;2;стадион ""Арена Химки"";Химки;16:30;2010",
"Томь;Рубин;0;1;22;марта;2010;2;стадион ""Труд"";Томск;15:00;2010",
"Алания;Амкар;0;0;26;марта;2010;3;стадион ""Республиканский стадион Спартак"";Владикавказ;17:00;2010",
"Анжи;ЦСКА;1;2;26;марта;2010;3;стадион ""Динамо"";Махачкала;19:15;2010",
"Сибирь;Спартак Нч;0;2;27;марта;2010;3;стадион ""Спартак"";Новосибирск;11:00;2010",
"Крылья Советов;Томь;2;3;27;марта;2010;3;стадион ""Металлург"";Самара;13:30;2010",
"Динамо;Зенит;1;2;27;марта;2010;3;стадион ""Арена Химки"";Химки;18:30;2010",
"Спартак;Локомотив;2;1;28;марта;2010;3;стадион ""Лужники"";Москва;14:00;2010",
"Рубин;Терек;0;0;28;марта;2010;3;стадион ""Центральный"";Казань;16:30;2010",
"Ростов;Cатурн;1;0;28;марта;2010;3;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2010",
"Амкар;Сибирь;3;1;3;апреля;2010;4;стадион ""Звезда"";Пермь;12:00;2010",
"Анжи;Алания;2;0;3;апреля;2010;4;стадион ""Динамо"";Махачкала;16:15;2010",
"Спартак Нч;Ростов;5;2;3;апреля;2010;4;стадион ""Спартак"";Нальчик;18:30;2010",
"Томь;Спартак;2;2;4;апреля;2010;4;стадион ""Труд"";Томск;11:30;2010",
"Терек;Крылья Советов;2;0;4;апреля;2010;4;стадион ""им. Билимханова"";Грозный;14:00;2010",
"Cатурн;Рубин;0;0;4;апреля;2010;4;стадион ""Сатурн"";Раменское;16:30;2010",
"Локомотив;Динамо;3;2;4;апреля;2010;4;стадион ""РЖД Арена"";Москва;19:00;2010",
"ЦСКА;Зенит;0;2;28;апреля;2010;4;стадион ""Арена Химки"";Химки;20:00;2010",
"Крылья Советов;Cатурн;2;1;10;апреля;2010;5;стадион ""Металлург"";Самара;14:00;2010",
"Спартак;Терек;2;1;10;апреля;2010;5;стадион ""Лужники"";Москва;16:15;2010",
"Динамо;Томь;0;0;10;апреля;2010;5;стадион ""Арена Химки"";Химки;18:30;2010",
"Сибирь;Анжи;2;4;11;апреля;2010;5;стадион ""Спартак"";Новосибирск;11:30;2010",
"Зенит;Локомотив;1;0;11;апреля;2010;5;стадион ""Петровский"";Санкт-Петербург;14:00;2010",
"Алания;ЦСКА;1;3;11;апреля;2010;5;стадион ""Республиканский стадион Спартак"";Владикавказ;16:15;2010",
"Ростов;Амкар;2;1;11;апреля;2010;5;стадион ""Олимп-2"";Ростов-на-Дону;18:30;2010",
"Рубин;Спартак Нч;1;1;12;апреля;2010;5;стадион ""Центральный"";Казань;18:30;2010",
"Томь;Зенит;0;0;17;апреля;2010;6;стадион ""Труд"";Томск;11:30;2010",
"ЦСКА;Локомотив;1;1;17;апреля;2010;6;стадион ""Арена Химки"";Химки;14:00;2010",
"Амкар;Рубин;0;1;17;апреля;2010;6;стадион ""Звезда"";Пермь;16:15;2010",
"Алания;Сибирь;2;1;17;апреля;2010;6;стадион ""Республиканский стадион Спартак"";Владикавказ;18:30;2010",
"Терек;Динамо;1;1;18;апреля;2010;6;стадион ""им. Билимханова"";Грозный;14:00;2010",
"Cатурн;Спартак;0;0;18;апреля;2010;6;стадион ""Сатурн"";Раменское;16:15;2010",
"Спартак Нч;Крылья Советов;1;0;18;апреля;2010;6;стадион ""Спартак"";Нальчик;18:30;2010",
"Анжи;Ростов;1;2;19;апреля;2010;6;стадион ""Динамо"";Махачкала;17:00;2010",
"Сибирь;ЦСКА;1;4;24;апреля;2010;7;стадион ""Спартак"";Новосибирск;14:00;2010",
"Динамо;Cатурн;1;0;24;апреля;2010;7;стадион ""Арена Химки"";Химки;16:15;2010",
"Локомотив;Томь;2;1;24;апреля;2010;7;стадион ""РЖД Арена"";Москва;18:30;2010",
"Спартак;Спартак Нч;0;0;25;апреля;2010;7;стадион ""Лужники"";Москва;14:00;2010",
"Зенит;Терек;0;0;25;апреля;2010;7;стадион ""Петровский"";Санкт-Петербург;16:15;2010",
"Рубин;Анжи;0;0;25;апреля;2010;7;стадион ""Центральный"";Казань;18:30;2010",
"Ростов;Алания;0;1;25;апреля;2010;7;стадион ""Олимп-2"";Ростов-на-Дону;20:45;2010",
"Крылья Советов;Амкар;1;1;26;апреля;2010;7;стадион ""Металлург"";Самара;19:00;2010",
"Анжи;Крылья Советов;0;0;30;апреля;2010;8;стадион ""Динамо"";Махачкала;17:00;2010",
"Терек;Локомотив;0;0;1;мая;2010;8;стадион ""им. Билимханова"";Грозный;16:15;2010",
"Спартак Нч;Динамо;1;0;1;мая;2010;8;стадион ""Спартак"";Нальчик;18:30;2010",
"Сибирь;Ростов;2;0;2;мая;2010;8;стадион ""Спартак"";Новосибирск;11:30;2010",
"ЦСКА;Томь;3;1;2;мая;2010;8;стадион ""Арена Химки"";Химки;14:00;2010",
"Cатурн;Зенит;0;1;2;мая;2010;8;стадион ""Сатурн"";Раменское;14:00;2010",
"Алания;Рубин;1;1;2;мая;2010;8;стадион ""Республиканский стадион Спартак"";Владикавказ;16:15;2010",
"Амкар;Спартак;0;2;2;мая;2010;8;стадион ""Звезда"";Пермь;18:30;2010",
"Крылья Советов;Алания;1;0;5;мая;2010;9;стадион ""Металлург"";Самара;16:30;2010",
"Локомотив;Cатурн;0;1;5;мая;2010;9;стадион ""РЖД Арена"";Москва;18:45;2010",
"Динамо;Амкар;1;1;5;мая;2010;9;стадион ""Арена Химки"";Химки;21:00;2010",
"Томь;Терек;2;1;6;мая;2010;9;стадион ""Труд"";Томск;12:00;2010",
"Рубин;Сибирь;1;0;6;мая;2010;9;стадион ""Центральный"";Казань;14:15;2010",
"Ростов;ЦСКА;1;0;6;мая;2010;9;стадион ""Олимп-2"";Ростов-на-Дону;16:30;2010",
"Зенит;Спартак Нч;3;1;6;мая;2010;9;стадион ""Петровский"";Санкт-Петербург;18:45;2010",
"Спартак;Анжи;3;0;6;мая;2010;9;стадион ""РЖД Арена"";Москва;21:00;2010",
"Сибирь;Крылья Советов;4;1;10;мая;2010;10;стадион ""Спартак"";Новосибирск;11:30;2010",
"ЦСКА;Терек;4;1;10;мая;2010;10;стадион ""Арена Химки"";Химки;14:00;2010",
"Алания;Спартак;5;2;10;мая;2010;10;стадион ""Республиканский стадион Спартак"";Владикавказ;14:00;2010",
"Амкар;Зенит;0;2;10;мая;2010;10;стадион ""Звезда"";Пермь;16:15;2010",
"Ростов;Рубин;0;2;10;мая;2010;10;стадион ""Олимп-2"";Ростов-на-Дону;18:30;2010",
"Cатурн;Томь;1;2;11;мая;2010;10;стадион ""Сатурн"";Раменское;16:00;2010",
"Спартак Нч;Локомотив;1;1;11;мая;2010;10;стадион ""Спартак"";Нальчик;18:15;2010",
"Анжи;Динамо;1;1;11;мая;2010;10;стадион ""Динамо"";Махачкала;20:30;2010",
"Терек;Cатурн;2;0;14;мая;2010;11;стадион ""им. Билимханова"";Грозный;16:00;2010",
"Рубин;ЦСКА;0;1;14;мая;2010;11;стадион ""Центральный"";Казань;18:15;2010",
"Крылья Советов;Ростов;1;2;14;мая;2010;11;стадион ""Металлург"";Самара;20:30;2010",
"Локомотив;Амкар;2;0;15;мая;2010;11;стадион ""РЖД Арена"";Москва;14:00;2010",
"Томь;Спартак Нч;1;0;15;мая;2010;11;стадион ""Труд"";Томск;16:15;2010",
"Динамо;Алания;2;0;15;мая;2010;11;стадион ""Арена Химки"";Химки;18:30;2010",
"Зенит;Анжи;2;1;4;июля;2010;11;стадион ""Петровский"";Санкт-Петербург;19:00;2010",
"Спартак;Сибирь;5;3;21;июля;2010;11;стадион ""Лужники"";Москва;20:00;2010",
"Спартак Нч;Терек;2;1;8;июля;2010;12;стадион ""Спартак"";Нальчик;19:00;2010",
"Сибирь;Динамо;2;2;9;июля;2010;12;стадион ""Спартак"";Новосибирск;14:15;2010",
"Рубин;Крылья Советов;3;0;9;июля;2010;12;стадион ""Центральный"";Казань;16:30;2010",
"Алания;Зенит;1;3;9;июля;2010;12;стадион ""Республиканский стадион Спартак"";Владикавказ;18:45;2010",
"Ростов;Спартак;1;0;9;июля;2010;12;стадион ""Олимп-2"";Ростов-на-Дону;21:00;2010",
"ЦСКА;Cатурн;1;1;10;июля;2010;12;стадион ""Арена Химки"";Химки;16:00;2010",
"Амкар;Томь;2;1;10;июля;2010;12;стадион ""Звезда"";Пермь;18:15;2010",
"Локомотив;Анжи;2;1;10;июля;2010;12;стадион ""РЖД Арена"";Москва;20:30;2010",
"Зенит;Сибирь;2;0;17;июля;2010;13;стадион ""Петровский"";Санкт-Петербург;18:45;2010",
"Динамо;Ростов;3;2;17;июля;2010;13;стадион ""Арена Химки"";Химки;21:00;2010",
"Спартак;Рубин;0;1;17;июля;2010;13;стадион ""Лужники"";Москва;21:00;2010",
"Томь;Анжи;1;4;18;июля;2010;13;стадион ""Труд"";Томск;16:00;2010",
"Терек;Амкар;1;0;18;июля;2010;13;стадион ""им. Билимханова"";Грозный;18:45;2010",
"Локомотив;Алания;3;0;18;июля;2010;13;стадион ""РЖД Арена"";Москва;20:30;2010",
"Крылья Советов;ЦСКА;0;1;19;июля;2010;13;стадион ""Металлург"";Самара;20:00;2010",
"Cатурн;Спартак Нч;3;1;19;июля;2010;13;стадион ""Сатурн"";Раменское;20:45;2010",
"Алания;Томь;2;1;24;июля;2010;14;стадион ""Республиканский стадион Спартак"";Владикавказ;18:45;2010",
"Ростов;Зенит;1;3;24;июля;2010;14;стадион ""Олимп-2"";Ростов-на-Дону;20:30;2010",
"Рубин;Динамо;2;0;24;июля;2010;14;стадион ""Центральный"";Казань;21:00;2010",
"Сибирь;Локомотив;2;2;25;июля;2010;14;стадион ""Спартак"";Новосибирск;14:15;2010",
"Амкар;Cатурн;0;1;25;июля;2010;14;стадион ""Звезда"";Пермь;16:30;2010",
"Анжи;Терек;1;0;25;июля;2010;14;стадион ""Республиканский стадион Спартак"";Владикавказ;18:45;2010",
"Крылья Советов;Спартак;0;0;25;июля;2010;14;стадион ""Металлург"";Самара;20:30;2010",
"ЦСКА;Спартак Нч;1;2;25;июля;2010;14;стадион ""Арена Химки"";Химки;21:00;2010",
"Cатурн;Анжи;1;0;30;июля;2010;15;стадион ""Сатурн"";Раменское;18:45;2010",
"Спартак Нч;Амкар;2;1;30;июля;2010;15;стадион ""Спартак"";Нальчик;21:00;2010",
"Зенит;Рубин;2;0;31;июля;2010;15;стадион ""Петровский"";Санкт-Петербург;16:00;2010",
"Терек;Алания;2;0;31;июля;2010;15;стадион ""им. Билимханова"";Грозный;18:45;2010",
"Динамо;Крылья Советов;1;1;31;июля;2010;15;стадион ""Арена Химки"";Химки;21:00;2010",
"Спартак;ЦСКА;1;2;1;августа;2010;15;стадион ""Лужники"";Москва;19:00;2010",
"Локомотив;Ростов;0;1;1;августа;2010;15;стадион ""РЖД Арена"";Москва;21:00;2010",
"Томь;Сибирь;3;2;2;августа;2010;15;стадион ""Труд"";Томск;16:00;2010",
"Ростов;Терек;1;0;6;августа;2010;16;стадион ""Олимп-2"";Ростов-на-Дону;21:00;2010",
"Анжи;Амкар;1;0;7;августа;2010;16;стадион ""Динамо"";Махачкала;20:00;2010",
"Крылья Советов;Локомотив;0;0;7;августа;2010;16;стадион ""Металлург"";Самара;21:00;2010",
"Сибирь;Cатурн;0;1;8;августа;2010;16;стадион ""Спартак"";Новосибирск;16:30;2010",
"Рубин;Томь;2;1;8;августа;2010;16;стадион ""Центральный"";Казань;20:30;2010",
"Алания;Спартак Нч;1;0;8;августа;2010;16;стадион ""Республиканский стадион Спартак"";Владикавказ;21:00;2010",
"Динамо;ЦСКА;0;0;27;октября;2010;16;стадион ""Арена Химки"";Химки;18:15;2010",
"Спартак;Зенит;1;0;27;октября;2010;16;стадион ""Лужники"";Москва;20:30;2010",
"Томь;Крылья Советов;1;1;14;августа;2010;17;стадион ""Труд"";Томск;13:45;2010",
"Зенит;Динамо;1;1;14;августа;2010;17;стадион ""Петровский"";Санкт-Петербург;16:00;2010",
"Cатурн;Ростов;0;2;14;августа;2010;17;стадион ""Сатурн"";Раменское;19:30;2010",
"Спартак Нч;Сибирь;4;2;14;августа;2010;17;стадион ""Спартак"";Нальчик;20:45;2010",
"Амкар;Алания;1;0;15;августа;2010;17;стадион ""Звезда"";Пермь;17:45;2010",
"ЦСКА;Анжи;4;0;15;августа;2010;17;стадион ""Арена Химки"";Химки;20:30;2010",
"Терек;Рубин;1;1;15;августа;2010;17;стадион ""им. Билимханова"";Грозный;20:45;2010",
"Локомотив;Спартак;2;3;15;августа;2010;17;стадион ""РЖД Арена"";Москва;21:20;2010",
"Ростов;Спартак Нч;1;1;20;августа;2010;18;стадион ""Олимп-2"";Ростов-на-Дону;21:00;2010",
"Спартак;Томь;4;2;21;августа;2010;18;стадион ""РЖД Арена"";Москва;16:00;2010",
"Крылья Советов;Терек;1;3;21;августа;2010;18;стадион ""Металлург"";Самара;19:00;2010",
"Сибирь;Амкар;1;0;22;августа;2010;18;стадион ""Спартак"";Новосибирск;13:45;2010",
"Динамо;Локомотив;3;0;22;августа;2010;18;стадион ""Арена Химки"";Химки;16:00;2010",
"Рубин;Cатурн;2;0;22;августа;2010;18;стадион ""Центральный"";Казань;18:30;2010",
"Алания;Анжи;0;0;22;августа;2010;18;стадион ""Республиканский стадион Спартак"";Владикавказ;20:45;2010",
"Зенит;ЦСКА;1;3;10;ноября;2010;18;стадион ""Петровский"";Санкт-Петербург;19:00;2010",
"Терек;Спартак;2;0;28;августа;2010;19;стадион ""им. Билимханова"";Грозный;16:00;2010",
"Амкар;Ростов;1;0;28;августа;2010;19;стадион ""Звезда"";Пермь;16:15;2010",
"Cатурн;Крылья Советов;1;1;28;августа;2010;19;стадион ""Сатурн"";Раменское;18:30;2010",
"Спартак Нч;Рубин;1;1;28;августа;2010;19;стадион ""Спартак"";Нальчик;20:45;2010",
"Томь;Динамо;1;0;29;августа;2010;19;стадион ""Труд"";Томск;13:45;2010",
"Локомотив;Зенит;0;3;29;августа;2010;19;стадион ""РЖД Арена"";Москва;16:00;2010",
"ЦСКА;Алания;2;1;29;августа;2010;19;стадион ""Арена Химки"";Химки;18:30;2010",
"Анжи;Сибирь;1;0;30;августа;2010;19;стадион ""Динамо"";Махачкала;18:00;2010",
"Сибирь;Алания;1;2;11;сентября;2010;20;стадион ""Спартак"";Новосибирск;13:00;2010",
"Зенит;Томь;2;0;11;сентября;2010;20;стадион ""Петровский"";Санкт-Петербург;15:15;2010",
"Спартак;Cатурн;2;1;11;сентября;2010;20;стадион ""Лужники"";Москва;17:30;2010",
"Рубин;Амкар;3;0;11;сентября;2010;20;стадион ""Центральный"";Казань;19:45;2010",
"Локомотив;ЦСКА;1;0;12;сентября;2010;20;стадион ""РЖД Арена"";Москва;15:00;2010",
